id,created_at,text
909878468396986368,2017-09-18 20:35:06,"b""The Handmaid's Tale fue la gran ganadora de los #Emmys2017\n\n\xc2\xbfDe qu\xc3\xa9 va esta historia dist\xc3\xb3pica? Su autora, Margaret\xe2\x80\xa6 https://t.co/57YlwhkGxD"""
909802141723844608,2017-09-18 15:31:48,b'RT @pictoline: El feminicidio de #MaraCastilla hace urgente recordar (una vez m\xc3\xa1s) por qu\xc3\xa9 seguimos diciendo #NiUnaM\xc3\xa1s https://t.co/KiNcFw3\xe2\x80\xa6'
909114713216131072,2017-09-16 18:00:12,b'\xe2\x80\x9cAlta traici\xc3\xb3n\xe2\x80\x9d\n\npor Jos\xc3\xa9 Emilio Pacheco https://t.co/Wq422fS3A6'
908890975627382784,2017-09-16 03:11:09,b'El feminicidio de #MaraCastilla hace urgente recordar (una vez m\xc3\xa1s) por qu\xc3\xa9 seguimos diciendo #NiUnaM\xc3\xa1s https://t.co/KiNcFw3Eqa'
908827345305321472,2017-09-15 22:58:18,b'RT @pictoline: Desde la torta hasta el taco: pocas cosas enorgullecen tanto a los mexicanos como su comida \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd \xe2\x9d\xa4\xef\xb8\x8f \xf0\x9f\x8c\xae\n\n#VivaM\xc3\xa9xico\n#D\xc3\xadadelaInd\xe2\x80\xa6'
908752391926714368,2017-09-15 18:00:28,b'Desde la torta hasta el taco: pocas cosas enorgullecen tanto a los mexicanos como su comida \xf0\x9f\x87\xb2\xf0\x9f\x87\xbd \xe2\x9d\xa4\xef\xb8\x8f \xf0\x9f\x8c\xae\n\n#VivaM\xc3\xa9xico\xe2\x80\xa6 https://t.co/pKQjLvjGVR'
908728330702245888,2017-09-15 16:24:52,"b'Hoy, la misi\xc3\xb3n de Cassini en Saturno termin\xc3\xb3  \xf0\x9f\x9a\x80 \xe2\x9c\xa8\n\nGracias por todo, explorador \xf0\x9f\x98\xa2 https://t.co/pVMFI9BxNU'"
908707419655720960,2017-09-15 15:01:46,"b'RT @pictoline: No todas las series lo logran, pero algunas tienen episodios (casi) perfectos\n\nEste es el Olimpo del 9.9 \xf0\x9f\x8c\x9f \xf0\x9f\x98\x8e\n(Seg\xc3\xban IMDb) ht\xe2\x80\xa6'"
908528196521308160,2017-09-15 03:09:36,"b'No todas las series lo logran, pero algunas tienen episodios (casi) perfectos\n\nEste es el Olimpo del 9.9 \xf0\x9f\x8c\x9f \xf0\x9f\x98\x8e\n(Seg\xc3\xban\xe2\x80\xa6 https://t.co/mKhbKdqu8a'"
908473194822209537,2017-09-14 23:31:02,"b'RT @pictoline: Entendiendo las costumbres mexicanas:\n\nUna gu\xc3\xada b\xc3\xa1sica para turistas, extranjeros y perdidos \xf0\x9f\x99\x83 https://t.co/ZYYh417Lfc'"
